GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-gestion-mascotas,com.sanosysalvos.mascotas.controller,MascotasController,177,0,2,0,33,0,15,0,14,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.pattern.factory,AlertaReunificacion,26,0,2,0,5,0,4,0,3,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.pattern.factory,Alerta,40,0,0,0,13,0,7,0,7,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.pattern.factory,AlertaExtravio,66,0,6,0,9,0,8,0,5,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.pattern.factory,AlertaHallazgo,51,0,4,0,7,0,6,0,4,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.pattern.factory,AlertaFactory,64,0,6,0,8,0,6,0,2,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.dto,MascotaResponse,0,83,0,0,0,22,0,1,0,1
ms-gestion-mascotas,com.sanosysalvos.mascotas,MascotasApplication,8,0,0,0,3,0,2,0,2,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.config,WebMvcConfig,23,0,0,0,5,0,2,0,2,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.config,JwtUtil,70,0,8,0,17,0,9,0,5,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.config,JwtInterceptor,103,0,18,0,27,0,12,0,3,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.service,MascotasService,501,103,34,2,100,28,32,3,14,3
ms-gestion-mascotas,com.sanosysalvos.mascotas.model,EstadoRevision,21,0,0,0,4,0,1,0,1,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.model,EstadoMascota,0,21,0,0,0,4,0,1,0,1
ms-gestion-mascotas,com.sanosysalvos.mascotas.model,ReporteEncuentro,13,0,4,0,5,0,3,0,1,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.model,Rol,33,0,0,0,6,0,1,0,1,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.model,TamanoMascota,21,0,0,0,4,0,1,0,1,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.model,Mascota,13,0,4,0,5,0,3,0,1,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.pattern.observer,MascotaEventListener,73,0,2,0,12,0,5,0,4,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.pattern.observer,MascotaReportadaEvent,0,6,0,0,0,3,0,1,0,1
ms-gestion-mascotas,com.sanosysalvos.mascotas.pattern.observer,MascotaEstadoCambiadoEvent,12,0,0,0,5,0,1,0,1,0
ms-gestion-mascotas,com.sanosysalvos.mascotas.pattern.observer,MascotaReunificadaEvent,6,0,0,0,3,0,1,0,1,0
